time,open,high,low,close,Volume,Volume MA
2019-07-02T09:00:00-03:00,6.407,6.407,6.4,6.405,106600,269671.5
2019-07-03T09:00:00-03:00,6.408,6.408,6.4,6.404,68685,260960.25
2019-07-04T09:00:00-03:00,6.402,6.406,6.393,6.4,149905,264827.5
2019-07-05T09:00:00-03:00,6.4,6.405,6.397,6.4,50105,262894.5
2019-07-08T09:00:00-03:00,6.404,6.405,6.4,6.405,48295,262810.75
2019-07-10T09:00:00-03:00,6.406,6.41,6.4,6.4,93585,258367
2019-07-11T09:00:00-03:00,6.405,6.405,6.399,6.402,59510,257191.5
2019-07-12T09:00:00-03:00,6.405,6.407,6.401,6.407,23040,254095.25
2019-07-15T09:00:00-03:00,6.401,6.415,6.401,6.402,124815,247170
2019-07-16T09:00:00-03:00,6.401,6.407,6.401,6.407,136660,166134.5
2019-07-17T09:00:00-03:00,6.402,6.406,6.401,6.402,80980,163557.5
2019-07-18T09:00:00-03:00,6.407,6.407,6.402,6.407,67750,146859.25
2019-07-19T09:00:00-03:00,6.402,6.402,6.401,6.402,40245,131774.75
2019-07-22T09:00:00-03:00,6.402,6.407,6.401,6.402,57685,83793.5
2019-07-23T09:00:00-03:00,6.402,6.409,6.401,6.409,132015,85026.75
2019-07-24T09:00:00-03:00,6.401,6.409,6.396,6.402,91360,87953.5
2019-07-25T09:00:00-03:00,6.401,6.405,6.401,6.405,64650,89113.75
2019-07-26T09:00:00-03:00,6.401,6.405,6.401,6.405,33505,84963.75
2019-07-29T09:00:00-03:00,6.402,6.402,6.402,6.402,50910,79492.25
2019-07-30T09:00:00-03:00,6.401,6.41,6.401,6.406,195445,83787.25
2019-07-31T09:00:00-03:00,6.41,6.41,6.4,6.4,96110,83262.75
2019-08-01T09:00:00-03:00,5.9,5.905,5.9,5.902,771350,118396
2019-08-02T09:00:00-03:00,5.896,5.903,5.896,5.902,50110,113406.25
2019-08-05T09:00:00-03:00,5.9,5.903,5.9,5.9,34595,112630.75
2019-08-06T09:00:00-03:00,5.9,5.905,5.9,5.9,153645,117898.25
2019-08-07T09:00:00-03:00,5.903,5.903,5.9,5.903,77770,117107.5
2019-08-08T09:00:00-03:00,5.903,5.903,5.902,5.902,129110,120587.5
2019-08-09T09:00:00-03:00,5.905,5.905,5.901,5.901,20070,120439
2019-08-12T09:00:00-03:00,5.904,5.908,5.901,5.907,63355,117366
