"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.05.2017","64.229","64.040","64.365","63.710","58,02K","0,40%"
"31.05.2017","62.921","64.005","64.175","62.770","82,25K","-2,04%"
"01.06.2017","62.454","62.785","63.460","62.285","66,16K","-0,74%"
"02.06.2017","62.607","62.685","63.030","62.265","61,62K","0,24%"
"05.06.2017","62.570","62.510","62.960","62.055","54,90K","-0,06%"
"06.06.2017","63.132","62.200","63.460","62.200","66,30K","0,90%"
"07.06.2017","63.271","63.185","63.805","63.030","73,83K","0,22%"
"08.06.2017","62.804","63.355","63.495","62.415","77,08K","-0,74%"
"09.06.2017","62.241","63.050","63.170","62.120","67,54K","-0,90%"
"12.06.2017","61.692","62.110","62.465","61.295","85,52K","-0,88%"
"13.06.2017","61.839","61.950","62.095","61.470","66,40K","0,24%"
"14.06.2017","62.004","61.845","62.480","61.845","40,84K","0,27%"
"16.06.2017","62.495","62.690","62.720","62.145","49,16K","0,79%"
"19.06.2017","62.924","62.750","63.185","62.505","43,93K","0,69%"
"20.06.2017","61.513","62.835","62.835","61.350","81,81K","-2,24%"
"21.06.2017","61.576","61.590","62.075","61.360","66,79K","0,10%"
"22.06.2017","62.090","61.715","62.195","61.580","73,48K","0,83%"
"23.06.2017","61.922","62.005","62.225","61.760","46,63K","-0,27%"
"26.06.2017","62.999","62.140","63.390","62.140","66,43K","1,74%"
"27.06.2017","62.387","63.005","63.185","62.280","70,77K","-0,97%"
"28.06.2017","62.743","62.570","62.835","62.130","53,55K","0,57%"
"29.06.2017","63.008","63.200","63.320","62.370","72,90K","0,42%"
"30.06.2017","63.608","63.345","63.760","62.980","57,05K","0,95%"
"03.07.2017","63.893","63.750","64.075","63.585","35,93K","0,45%"
"04.07.2017","63.857","63.785","64.000","63.665","18,17K","-0,06%"
"05.07.2017","63.752","63.905","64.115","63.335","50,24K","-0,16%"
"06.07.2017","63.044","63.500","63.740","62.925","56,28K","-1,11%"
"07.07.2017","62.864","63.075","63.605","62.620","68,53K","-0,29%"
"10.07.2017","63.602","63.050","63.760","63.000","59,25K","1,17%"
"11.07.2017","64.411","63.605","64.500","63.460","72,56K","1,27%"
"12.07.2017","65.443","64.525","65.550","64.395","105,90K","1,60%"
"13.07.2017","65.774","65.250","65.855","65.230","54,49K","0,51%"
"14.07.2017","65.933","65.705","66.180","65.660","61,62K","0,24%"
"17.07.2017","65.693","66.105","66.175","65.600","40,35K","-0,36%"
"18.07.2017","65.760","65.545","65.880","65.375","44,49K","0,10%"
"19.07.2017","65.618","65.845","66.040","65.275","48,85K","-0,22%"
"20.07.2017","65.360","65.620","65.960","65.285","44,90K","-0,39%"
"21.07.2017","65.085","65.250","65.575","65.010","43,73K","-0,42%"
"24.07.2017","65.499","65.160","65.560","65.035","40,63K","0,64%"
"25.07.2017","66.010","65.995","66.070","65.660","58,46K","0,78%"
"26.07.2017","65.320","66.005","66.225","65.170","68,60K","-1,05%"
"27.07.2017","65.553","65.545","65.955","65.380","69,18K","0,36%"
"28.07.2017","65.755","65.280","65.870","65.195","52,51K","0,31%"
"31.07.2017","66.210","66.200","66.285","65.900","53,40K","0,69%"
"01.08.2017","66.758","66.305","66.870","66.185","80,15K","0,83%"
"02.08.2017","67.387","66.650","67.545","66.500","92,28K","0,94%"
"03.08.2017","66.945","67.300","67.425","66.815","82,16K","-0,66%"
"04.08.2017","67.085","66.925","67.295","66.660","59,85K","0,21%"
"07.08.2017","68.119","67.010","68.240","66.995","98,72K","1,54%"
"08.08.2017","68.015","67.945","68.645","67.805","92,36K","-0,15%"
"09.08.2017","67.791","67.585","67.920","67.350","80,25K","-0,33%"
"10.08.2017","67.041","67.495","67.645","66.710","93,13K","-1,11%"
"11.08.2017","67.406","66.740","67.735","66.365","96,99K","0,54%"
"14.08.2017","68.295","67.395","68.725","67.220","109,58K","1,32%"
"15.08.2017","68.414","68.400","68.915","68.320","96,86K","0,17%"
"16.08.2017","68.794","68.950","68.985","68.300","24,65K","0,56%"
"17.08.2017","68.860","69.280","69.430","68.705","83,85K","0,10%"
"18.08.2017","69.568","68.915","69.695","68.790","83,21K","1,03%"
"21.08.2017","69.479","69.780","70.075","69.315","53,25K","-0,13%"
"22.08.2017","70.878","70.500","71.470","70.315","111,08K","2,01%"
"23.08.2017","71.301","71.055","71.430","70.760","70,30K","0,60%"
"24.08.2017","71.953","71.165","72.190","71.165","78,33K","0,91%"
"25.08.2017","71.829","72.275","72.275","71.595","66,48K","-0,17%"
"28.08.2017","71.785","71.830","72.180","71.645","42,12K","-0,06%"
"29.08.2017","72.084","71.330","72.250","71.225","53,68K","0,42%"
"30.08.2017","71.565","72.205","72.245","71.425","58,47K","-0,72%"
"31.08.2017","71.458","71.800","71.960","71.115","67,34K","-0,15%"
"01.09.2017","72.588","71.600","72.930","71.600","82,80K","1,58%"
"04.09.2017","72.773","72.305","72.905","72.280","26,71K","0,25%"
"05.09.2017","72.726","73.700","73.865","72.450","110,29K","-0,06%"
"06.09.2017","74.015","73.150","74.400","73.035","99,08K","1,77%"
"08.09.2017","73.692","74.350","74.520","73.550","55,97K","-0,44%"
"11.09.2017","74.942","74.150","75.265","74.145","81,30K","1,70%"
"12.09.2017","75.108","74.900","75.925","74.580","109,71K","0,22%"
"13.09.2017","75.351","74.875","75.725","74.725","97,26K","0,32%"
"14.09.2017","75.230","75.190","75.495","74.905","78,40K","-0,16%"
"15.09.2017","76.262","75.000","76.385","74.870","81,27K","1,37%"
"18.09.2017","76.474","76.340","76.915","76.055","77,21K","0,28%"
"19.09.2017","76.430","76.450","76.760","75.725","92,74K","-0,06%"
"20.09.2017","76.447","76.595","76.870","75.450","110,33K","0,02%"
"21.09.2017","75.987","76.295","76.790","75.655","99,70K","-0,60%"
"22.09.2017","75.694","75.845","76.140","75.390","86,50K","-0,39%"
"25.09.2017","74.778","75.535","75.780","74.640","76,23K","-1,21%"
"26.09.2017","74.714","74.850","75.335","74.500","74,62K","-0,09%"
"27.09.2017","74.069","74.600","75.030","73.410","117,95K","-0,86%"
"28.09.2017","73.822","73.980","74.315","73.540","75,08K","-0,33%"
"29.09.2017","74.619","73.915","74.810","73.875","91,98K","1,08%"
"02.10.2017","74.566","74.805","74.835","74.050","67,08K","-0,07%"
"03.10.2017","77.007","74.900","77.160","74.665","145,64K","3,27%"
"04.10.2017","76.851","76.915","77.320","76.640","94,37K","-0,20%"
"05.10.2017","76.808","76.995","78.270","76.525","135,94K","-0,06%"
"06.10.2017","76.214","76.640","76.970","75.715","93,07K","-0,77%"
"09.10.2017","75.807","76.510","76.550","75.290","66,63K","-0,53%"
"10.10.2017","76.981","76.390","77.170","76.200","98,56K","1,55%"
"11.10.2017","76.827","76.850","77.140","76.430","65,32K","-0,20%"
"13.10.2017","77.140","77.000","77.555","76.815","64,80K","0,41%"
"16.10.2017","76.927","77.300","77.430","76.575","56,62K","-0,28%"
"17.10.2017","76.165","76.735","76.930","76.045","59,27K","-0,99%"
"18.10.2017","76.581","76.480","76.700","76.000","11,18K","0,55%"
"19.10.2017","76.975","77.000","77.095","76.070","100,90K","0,51%"
"20.10.2017","77.114","77.375","77.750","77.000","59,80K","0,18%"
"23.10.2017","76.053","77.300","77.300","75.965","89,31K","-1,38%"
"24.10.2017","77.017","76.250","77.155","76.120","95,19K","1,27%"
"25.10.2017","77.383","77.210","77.600","76.010","108,45K","0,48%"
"26.10.2017","76.485","77.565","77.755","76.410","105,88K","-1,16%"
"27.10.2017","76.634","76.835","77.305","76.175","96,77K","0,19%"
"30.10.2017","75.302","76.310","76.385","74.795","110,88K","-1,74%"
"31.10.2017","74.864","75.500","75.695","74.655","96,04K","-0,58%"
"01.11.2017","74.362","75.350","75.815","74.235","99,04K","-0,67%"
"03.11.2017","74.456","74.550","74.795","73.555","103,75K","0,13%"
"06.11.2017","74.861","74.800","74.950","74.275","70,93K","0,54%"
"07.11.2017","72.935","74.700","74.725","72.810","132,30K","-2,57%"
"08.11.2017","74.918","73.245","75.015","73.055","122,33K","2,72%"
"09.11.2017","73.324","74.695","74.790","73.175","108,72K","-2,13%"
"10.11.2017","72.574","73.200","73.490","72.300","86,96K","-1,02%"
"13.11.2017","73.034","72.540","73.235","72.110","87,95K","0,63%"
"14.11.2017","71.139","73.095","73.270","71.000","100,98K","-2,59%"
"16.11.2017","73.000","71.585","73.265","71.370","104,06K","2,62%"
"17.11.2017","73.713","72.795","73.985","72.670","68,49K","0,98%"
"21.11.2017","74.787","74.325","75.430","74.235","76,65K","1,46%"
"22.11.2017","74.826","74.970","75.375","74.525","67,77K","0,05%"
"23.11.2017","74.720","74.800","74.895","74.060","39,64K","-0,14%"
"24.11.2017","74.335","74.895","74.960","74.215","33,30K","-0,52%"
"27.11.2017","74.286","74.210","74.445","73.340","66,30K","-0,07%"
"28.11.2017","74.570","74.650","75.200","74.280","73,86K","0,38%"
